,Unnamed: 0,type,status,status-spec,order,saturation,sat-granularity,filename,filetype,regroup-strategy,regroup-time,bandwidth,profile,span,average-wavefront,RMS-wavefront,state-vector-length,groups,group-checks,next-state-calls,reachability-time,statespace-states,statespace-nodes,group-next,group-explored-nodes,group-explored-vectors,time,memory,peak-nodes,LDDop-union,LDDop-minus,LDDop-relProd,LDDop-satCount,LDDop-satCountL,LDDop-zip,LDDop-relProdUnion,LDDop-projectMinus,Unnamed: 36
39,39,performance,done,,chain,none,5,dnawalk-01,pnml,"tg,bs,hf",0.01,225.0,21419.0,23336.0,17.871,18.95,13.0,82.0,656.0,656.0,0.15,3795.0,265.0,379.0,608.0,578.0,0.17,405000.0,,,,,,,,,,
40,40,performance,done,,chain,sat-like,5,desel_esparza_6_1,pnml,"tg,bs,hf",0.0,23.0,428.0,525.0,6.5710000000000015,6.841,8.0,7.0,7.0,7.0,0.0,1.0,8.0,0.0,20.0,7.0,0.0,72.0,,,,,,,,,,
41,41,performance,done,,bfs-prev,sat-like,5,peterson_3_17,pnml,"tg,bs,hf",0.0,37.0,1851.0,2418.0,10.702,11.048,18.0,21.0,286.0,286.0,0.02,64.0,144.0,146.0,153.0,112.0,0.02,72.0,,,,,,,,,,
42,44,performance,done,,bfs-prev,sat-loop,5,rwmutex-r10w500,pnml,"tg,bs,hf",40.63,12330.0,84696265.0,89983965.0,1076.75875,1219.89872,1030.0,1020.0,3058.0,3058.0,95.72,1524.0,226706.0,25140.0,34068.0,1025060.0,137.18,2929584.0,,,,,,,,,,
43,45,performance,done,,bfs-prev,none,5,rwmutex-r10w500,pnml,"tg,bs,hf",42.48,12330.0,84696265.0,89983965.0,1076.75875,1219.89872,1030.0,1020.0,11220.0,11220.0,110.62,1524.0,226706.0,25140.0,34068.0,1025060.0,153.93,2939452.0,,,,,,,,,,
44,46,performance,done,,bfs-prev,sat-loop,5,RAS-C-3,pnml,"tg,bs,hf",0.0,35.0,1373.0,1592.0,8.333,8.719,18.0,12.0,88.0,88.0,0.02,92.0,55.0,108.0,132.0,98.0,0.03,72.0,,,,,,,,,,
45,47,performance,done,,chain,none,5,2D8_gradient_20x20_10,pnml,"tg,bs,hf",7.17,1828.0,3628591.0,3813154.0,77.494404,80.18825799999998,400.0,2964.0,41496.0,41496.0,467.14,3.23081977575776e+19,26290.0,254904.0,228228.0,195624.0,474.76,3872884.0,,,,,,,,,,
46,48,performance,done,,bfs-prev,sat-like,5,closed_system5,pnml,"tg,bs,hf",0.15,755.0,73916.0,81489.0,25.32353,27.19165,231.0,202.0,12721.0,12721.0,5.23,1657242.0,17936.0,1648.0,1950.0,1053.0,5.48,2899612.0,,,,,,,,,,
47,49,performance,done,,bfs,sat-loop,5,AirplaneLD-pt-0050,pnml,"tg,bs,hf",0.46,2030.0,875026.0,907075.0,22.83819,26.22606,369.0,408.0,1859.0,1859.0,1.01,4471223.0,2056.0,3106.0,3474.0,1879.0,1.7,2624144.0,,,,,,,,,,
48,50,performance,done,,chain,sat-loop,5,fourdiningphilosophers-boxed,pnml,"tg,bs,hf",0.0,24.0,530.0,713.0,6.269,6.46,12.0,8.0,24.0,24.0,0.0,7.0,38.0,72.0,76.0,40.0,0.0,76.0,,,,,,,,,,
49,51,performance,done,,chain,sat-like,5,rwmutex-r10w100,pnml,"tg,bs,hf",1.1,2883.0,3690088.0,3807303.0,121.8471,134.1411,230.0,220.0,5118.0,5118.0,1.01,1124.0,883.0,5140.0,6922.0,205060.0,2.15,1997228.0,,,,,,,,,,
50,52,performance,done,,chain,none,5,fivediningphilosophers-boxed,pnml,"tg,bs,hf",0.0,70.0,2399.0,3075.0,11.1,11.463,25.0,25.0,75.0,75.0,0.01,243.0,135.0,176.0,221.0,140.0,0.02,76.0,,,,,,,,,,
51,53,performance,done,,chain-prev,sat-like,5,IBM5964,pnml,"tg,bs,hf",0.07,265.0,21268.0,24006.0,11.3213,11.9417,263.0,139.0,608.0,608.0,0.46,15546.0,1024.0,503.0,935.0,441.0,0.56,1610160.0,,,,,,,,,,
52,54,performance,done,,chain-prev,sat-like,5,SmallOperatingSystem-MT0064DC0032,pnml,"tg,bs,hf",0.0,17.0,432.0,590.0,6.727,7.023,9.0,8.0,734.0,734.0,22.8,9133641.0,98569.0,18696.0,15435.0,106568.0,22.84,3324396.0,,,,,,,,,,
53,55,performance,done,,chain-prev,sat-like,5,RAS-C-10,pnml,"tg,bs,hf",0.01,34.0,4365.0,5937.0,8.792,8.931000000000003,60.0,40.0,319.0,319.0,0.05,823552.0,509.0,388.0,596.0,476.0,0.06,206808.0,,,,,,,,,,
54,56,performance,done,,bfs,sat-like,5,fourdiningphilosophers-boxed,pnml,"tg,bs,hf",0.0,24.0,530.0,713.0,6.269,6.46,12.0,8.0,26.0,26.0,0.01,7.0,38.0,72.0,76.0,40.0,0.01,76.0,,,,,,,,,,
55,57,performance,done,,chain-prev,sat-like,5,fivediningphilosophers-3_32,pnml,"tg,bs,hf",0.0,30.0,760.0,992.0,7.615,7.939,15.0,10.0,32.0,32.0,0.01,11.0,50.0,90.0,100.0,50.0,0.02,76.0,,,,,,,,,,
56,58,performance,done,,chain,sat-loop,5,AirplaneLD-pt-0020,pnml,"tg,bs,hf",0.08,785.0,142832.0,151347.0,17.5891,18.6967,159.0,168.0,677.0,677.0,0.34,308303.0,871.0,1276.0,1419.0,769.0,0.49,1085700.0,,,,,,,,,,
57,59,performance,done,,bfs-prev,sat-loop,5,dnawalk-09,pnml,"tg,bs,hf",0.07,744.0,195145.0,208669.0,37.4456,39.4546,27.0,260.0,6689.0,6689.0,7.91,28209796.0,5542.0,1194.0,1917.0,1800.0,8.01,2941972.0,,,,,,,,,,
58,60,performance,done,,chain,sat-like,5,shared_memory-pt-10,pnml,"tg,bs,hf",0.19,1099.0,428678.0,480723.0,100.7056,108.3668,131.0,210.0,2691.0,2691.0,3.83,1830519.0,28359.0,1790.0,2185.0,1380.0,4.08,2598156.0,,,,,,,,,,
59,61,performance,done,,chain,sat-loop,5,open_system_0,pnml,"tg,bs,hf",0.11,697.0,63913.0,70376.0,23.0581,24.7888,198.0,176.0,22918.0,22918.0,8.18,2776936.0,4455.0,1426.0,1687.0,911.0,8.39,2874364.0,,,,,,,,,,
60,62,performance,done,,bfs-prev,none,5,angiogenesis-01,pnml,"tg,bs,hf",0.01,242.0,13805.0,15443.0,16.868,17.667,39.0,64.0,1280.0,1280.0,0.12,110.0,270.0,338.0,463.0,254.0,0.14,409304.0,,,,,,,,,,
61,63,performance,done,,chain-prev,sat-loop,5,desel_esparza_10_3b,pnml,"tg,bs,hf",0.0,22.0,592.0,785.0,7.275,7.661,11.0,9.0,52.0,52.0,0.0,10.0,40.0,57.0,79.0,43.0,0.01,76.0,,,,,,,,,,
62,64,performance,done,,chain,none,5,angiogenesis-05,pnml,"tg,bs,hf",0.01,242.0,13805.0,15443.0,16.868,17.667,39.0,64.0,960.0,960.0,8.49,42734935.0,10509.0,3087.0,2747.0,4011.0,8.51,2902996.0,,,,,,,,,,
63,65,performance,done,,bfs,sat-loop,5,desel_esparza_8_2,pnml,"tg,bs,hf",0.0,22.0,559.0,733.0,7.881,8.19,10.0,6.0,30.0,30.0,0.0,7.0,32.0,58.0,84.0,38.0,0.01,76.0,,,,,,,,,,
64,67,performance,done,,chain-prev,none,5,dnawalk-09,pnml,"tg,bs,hf",0.07,744.0,195145.0,208669.0,37.4456,39.4546,27.0,260.0,2080.0,2080.0,15.51,28209796.0,5542.0,1194.0,1917.0,1800.0,15.59,2950608.0,,,,,,,,,,
65,68,performance,done,,bfs-prev,sat-loop,5,fivediningphilosophers-lr-boxed,pnml,"tg,bs,hf",0.0,36.0,1014.0,1320.0,7.165,7.354,20.0,15.0,66.0,66.0,0.01,82.0,87.0,115.0,133.0,80.0,0.02,4648.0,,,,,,,,,,
66,69,performance,done,,bfs-prev,none,5,desel_esparza_7_3,pnml,"tg,bs,hf",0.0,25.0,477.0,583.0,7.0539999999999985,7.343,9.0,6.0,36.0,36.0,0.0,6.0,32.0,50.0,62.0,30.0,0.0,4604.0,,,,,,,,,,
67,70,performance,done,,bfs-prev,none,5,RAS-R-20,pnml,"tg,bs,hf",0.01,22.0,4442.0,5531.0,7.26087,7.33197,80.0,42.0,8862.0,8862.0,1.93,11534336.0,271.0,442.0,518.0,316.0,1.94,2870976.0,,,,,,,,,,
68,71,performance,done,,chain,sat-loop,5,Philosophers-5,pnml,"tg,bs,hf",0.0,45.0,2397.0,3207.0,11.523,11.907,25.0,25.0,75.0,75.0,0.03,243.0,135.0,185.0,222.0,140.0,0.03,4420.0,,,,,,,,,,
69,72,performance,done,,bfs-prev,sat-loop,5,IBM5964,pnml,"tg,bs,hf",0.06,265.0,21268.0,24006.0,11.3213,11.9417,263.0,139.0,1329.0,1329.0,0.62,15546.0,1024.0,503.0,935.0,441.0,0.74,1851352.0,,,,,,,,,,
70,73,performance,done,,bfs,none,5,SwimmingPool-1,pnml,"tg,bs,hf",0.0,17.0,351.0,477.0,6.667000000000002,7.016,9.0,7.0,707.0,707.0,3.46,89621.0,6729.0,1712.0,1365.0,5327.0,3.47,2811648.0,,,,,,,,,,
71,74,performance,done,,bfs,sat-loop,5,desel_esparza_8_2,pnml,"tg,bs,hf",0.0,22.0,559.0,733.0,7.881,8.19,10.0,6.0,30.0,30.0,0.0,7.0,32.0,58.0,84.0,38.0,0.01,76.0,,,,,,,,,,
72,75,performance,done,,chain,none,5,FMS-100,pnml,"tg,bs,hf",0.0,27.0,755.0,985.0,5.659,5.856,22.0,20.0,4020.0,4020.0,1072.22,2.70305727248432e+21,264627.0,86575.0,84885.0,765863.0,1072.31,3921692.0,,,,,,,,,,
73,76,performance,done,,chain-prev,sat-loop,5,dnawalk-01,pnml,"tg,bs,hf",0.01,225.0,21419.0,23336.0,17.871,18.95,13.0,82.0,760.0,760.0,0.15,3795.0,265.0,379.0,608.0,578.0,0.17,621236.0,,,,,,,,,,
74,77,performance,done,,chain,sat-like,5,angiogenesis-10,pnml,"tg,bs,hf",0.01,242.0,13805.0,15443.0,16.868,17.667,39.0,64.0,3437.0,3437.0,63.79,822645885495.0,114444.0,9586.0,8137.0,21446.0,63.86,2996472.0,,,,,,,,,,
75,78,performance,done,,bfs,sat-loop,5,HouseConstruction-010,pnml,"tg,bs,hf",0.0,32.0,1034.0,1247.0,6.516,6.836,26.0,18.0,768.0,768.0,4.95,1663565805.0,30151.0,3258.0,2596.0,10208.0,4.96,2913120.0,,,,,,,,,,
76,79,performance,done,,bfs-prev,sat-loop,5,circadian_clock-000100,pnml,"tg,bs,hf",0.0,32.0,1009.0,1382.0,8.267999999999999,8.642000000000001,14.0,16.0,4378.0,4378.0,25.04,42040402004.0,1018.0,8040.0,4064.0,1062924.0,25.05,3209300.0,,,,,,,,,,
77,80,performance,done,,chain-prev,sat-loop,5,erk-000010,pnml,"tg,bs,hf",0.0,17.0,526.0,725.0,6.6960000000000015,6.919,11.0,11.0,173.0,173.0,0.24,47047.0,396.0,1186.0,979.0,4411.0,0.24,503528.0,,,,,,,,,,
78,81,performance,done,,bfs-prev,none,5,2-10_phaseVariation,pnml,"tg,bs,hf",0.02,382.0,71936.0,76887.0,25.9313,26.8135,14.0,65.0,845.0,845.0,1.39,7716.0,3731.0,4423.0,4646.0,17471.0,1.42,2633052.0,,,,,,,,,,
79,82,performance,done,,chain-prev,sat-loop,5,SwimmingPool-2,pnml,"tg,bs,hf",0.0,17.0,351.0,477.0,6.667000000000002,7.016,9.0,7.0,516.0,516.0,2.94,3408031.0,62174.0,6042.0,4735.0,35247.0,2.97,2895644.0,,,,,,,,,,
80,83,performance,done,,bfs-prev,none,5,G-PPP-1-10,pnml,"tg,bs,hf",0.0,89.0,3079.0,3631.0,11.007,11.835,33.0,22.0,8756.0,8756.0,2.63,1655346.0,2858.0,1557.0,1517.0,2356.0,2.64,2893724.0,,,,,,,,,,
81,84,performance,done,,chain,sat-like,5,RAS-R-3,pnml,"tg,bs,hf",0.0,22.0,583.0,720.0,6.3,6.525,12.0,8.0,46.0,46.0,0.0,20.0,33.0,68.0,76.0,44.0,0.01,76.0,,,,,,,,,,
82,85,performance,done,,chain,sat-loop,5,IOTP_c5m4p3d2,pnml,"tg,bs,hf",0.01,173.0,10421.0,11521.0,11.934,12.6417,111.0,45.0,2026.0,2026.0,6.9,17406024.0,13457.0,2040.0,1805.0,1180.0,6.92,2902844.0,,,,,,,,,,
83,86,performance,done,,chain-prev,none,5,RAS-R-5,pnml,"tg,bs,hf",0.0,22.0,1037.0,1286.0,6.744,6.91,20.0,12.0,72.0,72.0,0.02,112.0,61.0,112.0,128.0,76.0,0.03,27040.0,,,,,,,,,,
84,87,performance,done,,chain,sat-like,5,FMS-2,pnml,"tg,bs,hf",0.0,27.0,755.0,985.0,5.659,5.856,22.0,20.0,153.0,153.0,0.02,3444.0,123.0,225.0,203.0,140.0,0.02,43204.0,,,,,,,,,,
85,88,performance,done,,bfs,sat-loop,5,angiogenesis-10,pnml,"tg,bs,hf",0.0,242.0,13805.0,15443.0,16.868,17.667,39.0,64.0,4054.0,4054.0,156.01,822645885495.0,114444.0,9586.0,8137.0,21446.0,156.06,3206684.0,,,,,,,,,,
86,89,performance,done,,chain,sat-loop,5,closed_system5,pnml,"tg,bs,hf",0.1,755.0,73916.0,81489.0,25.32353,27.19165,231.0,202.0,9782.0,9782.0,10.3,1657242.0,17936.0,1648.0,1950.0,1053.0,10.47,2880168.0,,,,,,,,,,
87,90,performance,done,,chain-prev,sat-like,5,diningphilosopher,pnml,"tg,bs,hf",0.0,10.0,170.0,227.0,5.57,5.84,5.0,4.0,4.0,4.0,0.0,1.0,5.0,0.0,12.0,4.0,0.0,72.0,,,,,,,,,,
88,91,performance,done,,bfs,none,5,Kanban-10,pnml,"tg,bs,hf",0.0,34.0,746.0,941.0,5.653,5.908,16.0,16.0,2256.0,2256.0,5.93,1005927208.0,891.0,1806.0,1540.0,67716.0,5.94,2911780.0,,,,,,,,,,
89,92,performance,done,,chain-prev,sat-like,5,fourdiningphilosophers-boxed-alt,pnml,"tg,bs,hf",0.0,24.0,530.0,713.0,6.269,6.46,12.0,8.0,22.0,22.0,0.0,7.0,38.0,72.0,76.0,40.0,0.01,72.0,,,,,,,,,,
90,93,performance,done,,chain,none,5,SmallOperatingSystem-MT0032DC0016,pnml,"tg,bs,hf",0.0,17.0,432.0,590.0,6.727,7.023,9.0,8.0,288.0,288.0,2.18,354501.0,14601.0,5256.0,4275.0,15912.0,2.19,2697136.0,,,,,,,,,,
91,94,performance,done,,chain,sat-loop,5,2D8_gradient_5x5_10,pnml,"tg,bs,hf",0.02,207.0,36326.0,39098.0,17.0547,17.7079,25.0,144.0,1108.0,1108.0,0.91,131128140.0,1540.0,12384.0,11088.0,9504.0,0.95,2140352.0,,,,,,,,,,
92,95,performance,done,,bfs-prev,sat-like,5,Kanban-20,pnml,"tg,bs,hf",0.0,34.0,746.0,941.0,5.653,5.908,16.0,16.0,1574.0,1574.0,11.8,805422366595.0,3766.0,5796.0,5040.0,1532916.0,11.8,3093556.0,,,,,,,,,,
93,96,performance,done,,bfs,sat-loop,5,closed_system2,pnml,"tg,bs,hf",0.14,755.0,73916.0,81489.0,25.32353,27.19165,231.0,202.0,15231.0,15231.0,8.93,349874.0,10107.0,1648.0,1950.0,1053.0,9.16,2868932.0,,,,,,,,,,
94,98,performance,done,,chain-prev,sat-loop,5,CircularTrain-024,pnml,"tg,bs,hf",0.0,145.0,3308.0,3685.0,9.4821,9.6359,48.0,24.0,339.0,339.0,0.35,86515.0,1003.0,248.0,285.0,232.0,0.37,1068576.0,,,,,,,,,,
95,99,performance,done,,chain,sat-like,5,closed_system5,pnml,"tg,bs,hf",0.15,755.0,73916.0,81489.0,25.32353,27.19165,231.0,202.0,12006.0,12006.0,4.63,1657242.0,17936.0,1648.0,1950.0,1053.0,4.86,2822972.0,,,,,,,,,,
96,102,performance,done,,bfs,sat-loop,5,FMS-50,pnml,"tg,bs,hf",0.0,27.0,755.0,985.0,5.659,5.856,22.0,20.0,3185.0,3185.0,26.96,4.24025581818266e+17,46077.0,23325.0,22485.0,109188.0,26.98,3040356.0,,,,,,,,,,
97,103,performance,done,,bfs,none,5,MAPK-8,pnml,"tg,bs,hf",0.0,35.0,1928.0,2576.0,8.3873,8.6753,22.0,30.0,2190.0,2190.0,1.55,6110643.0,668.0,1621.0,1378.0,2112.0,1.56,2674484.0,,,,,,,,,,
